Candidate;Item;Gender;Inanimate;Target_name_Russian;Target_name_English;dominant_name;number_of_diff_names;number_of_responses;number_of_names_each;Name_agreement_perc;Subjective_visual_complexity_Mean;Subjective_visual_complexity_SD;objective_visual_complexity;Object_familiarity_Mean;Object_familiarity_SD;Age_acquisition_Mean;Age_acquisition_SD;Imageability_Mean;Imageability_SD;Image_agreement_Mean;Image_agreement_SD;Frequency;Syllables;Phonemes;sim_score_mean;sim_score_max;sim_score_sd
2;579. терка (a grater);ж;неод;терка;a grater;терка;1;100;терка 100;100;2,47;1,13;314;4,74;0,68;2,16;0,66;1,18;0,41;4,8;0,65;1,7;2;5;0,101627;0,244313;0,068525
1;586. точилка (a pencil sharpener);ж;неод;точилка;a pencil sharpener;точилка;3;100;точилка 98, деталь 1, чинилка 1;98;3,06;1,08;--;4,21;1,06;2,27;0,62;1,16;0,47;4,28;0,94;0;3;7;0,126932;0,340094;0,072222
2;599. тыква (a pumpkin);разные;неод;тыква;a pumpkin;тыква;2;100;тыква 99, овощ 1;99;2;0,93;378;3,94;1,24;2,03;0,69;1,07;0,29;4,61;0,74;5;2;5;0,112601;0,340203;0,082145
2;605. удочка (a fishing rod);разные;неод;удочка;a fishing rod;удочка;3;100;удочка 98, спининг 1, удилище 1;98;2,35;1,05;223;3,45;1,42;1,97;0,63;1,15;0,58;4,56;0,69;8,8;3;6;0,135297;0,382327;0,074533
2;613. утюг (an iron);м;неод;утюг;an iron;утюг;1;100;утюг 100;100;3,14;1,25;291;4,6;0,8;1,68;0,7;1,06;0,34;4,39;0,85;8,7;2;4;0,146127;0,3824;0,073466
2;614. ухо (an ear);;неод;ухо;an ear;ухо;1;100;ухо 100;100;3,16;1,1;273;4,77;0,62;1,17;0,41;1,04;0,24;4,72;0,65;139,3;2;3;0,101714;0,287238;0,06955
1;618. фен (a hairdryer);м;неод;фен;a hairdryer;фен;3;100;фен 97, массажер 2, нет ответа 1;97;3,13;1,19;190;4,47;1,02;2,49;0,98;1,1;0,36;3,8;1,2;2;1;3;0,093667;0,394494;0,072176
2;622. флаг (a flag);разные;неод;флаг;a flag;флаг;4;100;флаг 95, знамя 2, триколор 2, стяг 1;95;2,19;0,94;375;4,3;1,1;1,83;0,67;1,1;0,49;4,47;0,81;29,4;1;4;0,101911;0,305262;0,077009
1;627. фонтан (a fountain);м;неод;фонтан;a fountain;фонтан;2;100;фонтан 99, нет ответа 1;99;3,47;1,29;506;4,16;1,05;1,99;0,61;1,16;0,47;4,18;1,01;18,4;2;6;0,11071;0,347329;0,089781
2;628. форточка (a vent pane);разные;неод;форточка;a vent pane;форточка;3;100;форточка 98, фортка 1, окно 1;98;2,81;0,91;537;4,55;0,88;1,84;0,63;1,17;0,43;4,62;0,75;10;3;8;0,100549;0,387385;0,066736
2;637. хобот (a trunk);один одуш;неод;хобот;a trunk;хобот;2;100;хобот 97, слон 3;97;3,18;1,1;268;2,61;1,42;1,84;0,63;1,09;0,32;3,91;1,2;3,4;2;5;0,145429;0,305183;0,079617
2;662. шахматы (chess);разные;неод;шахматы;chess;шахматы;2;100;шахматы 98, партия 2;98;3,47;1,16;432;3,85;1,35;2,17;0,71;1,05;0,22;4,56;0,84;19;3;7;0,050658;0,46807;0,084574
2;664. шашлык (a shashlik);разные;неод;шашлык;a shashlik ;шашлык;3;100;шашлык 98, шампур 1, шпажка 1;98;2,93;1,26;325;4,43;0,89;2,66;0,9;1,17;0,47;4,61;0,68;10;2;6;0,049966;0,438524;0,080361
2;674. шляпа (a hat);разные;неод;шляпа;a hat;шляпа;2;100;шляпа 99, котелок 1;99;1,78;0,83;301;4,12;1,14;1,73;0,76;1,22;0,75;4,58;0,73;34,2;2;5;0,129545;0,417585;0,080228
1;680. шприц (a syringe);м;неод;шприц;a syringe;шприц;2;100;шприц 99, баян 1;99;2,32;1,08;116;4,02;1,18;2,06;0,69;1,12;0,41;4,68;0,62;7,8;1;5;0,133534;0,359907;0,08615
2;693. якорь (an anchor);м;неод;якорь;an anchor;якорь;1;100;якорь 100;100;2,63;1,07;241;2,69;1,45;2,2;0,7;1,07;0,3;4,51;0,85;25,9;2;5;0,112017;0,419651;0,078562
2;630. фотоаппарат (2) (a camera);разные;неод;фотоаппарат;a camera;фотоаппарат;2;100;фотоаппарат 99, фотокамера 1;99;3,94;1,14;370;4,47;0,8;2,11;0,79;1,12;0,41;4,32;0,95;8,5;5;10;0,143283;0,43933;0,09143
