Candidate;Item;Gender;Inanimate;Target_name_Russian;Target_name_English;dominant_name;number_of_diff_names;number_of_responses;number_of_names_each;Name_agreement_perc;Subjective_visual_complexity_Mean;Subjective_visual_complexity_SD;objective_visual_complexity;Object_familiarity_Mean;Object_familiarity_SD;Age_acquisition_Mean;Age_acquisition_SD;Imageability_Mean;Imageability_SD;Image_agreement_Mean;Image_agreement_SD;Frequency;Syllables;Phonemes
2;674. шляпа (a hat);разные;неод;шляпа;a hat;шляпа;2;100;шляпа 99, котелок 1;99;1,78;0,83;301;4,12;1,14;1,73;0,76;1,22;0,75;4,58;0,73;34,2;2;5
2;683. шуба (a fur coat);разные;неод;шуба;a fur coat;шуба;2;100;шуба 99, пальто 1;99;3,32;1,12;716;4,12;1,12;1,64;0,59;1,14;0,45;3,89;1,16;18,7;2;4
2;92. галстук (a tie);разные;неод;галстук;a tie;галстук;2;100;галстук 98, удавка 2;98;2,44;0,92;308;3,84;1,26;2,42;0,7;1,11;0,35;4,31;0,94;28;2;7
2;122. диван (a sofa);разные;неод;диван;a sofa;диван;2;100;диван 98, софа 2;98;2,82;1,1;476;4,84;0,51;1,45;0,61;1,13;0,53;4,2;0,94;60,1;2;5
2;148. зажигалка (a lighter);разные;неод;зажигалка;a lighter;зажигалка;2;100;зажигалка 98, зиппо 2;98;3,03;1,05;--;3,86;1,23;2,86;1,03;1,14;0,4;3,69;1,13;10,7;4;9
2;241. коробка (a box);разные;неод;коробка;a box;коробка;2;100;коробка 98, короб 2;98;2,35;1,04;--;4,6;0,79;1,43;0,52;1,03;0,17;3,06;1,32;49;3;7
2;662. шахматы (chess);разные;неод;шахматы;chess;шахматы;2;100;шахматы 98, партия 2;98;3,47;1,16;432;3,85;1,35;2,17;0,71;1,05;0,22;4,56;0,84;19;3;7
2;23. барабан (a drum);разные;неод;барабан;a drum;барабан;3;100;барабан 98, походный набор военного барабанщика 1, ударные 1;98;2,55;1,03;382;3,57;1,34;1,58;0,62;1,11;0,51;4,49;0,69;15,7;3;7
2;52. бутерброд (1) (a sandwich);разные;неод;бутерброд;a sandwich;бутерброд;3;100;бутерброд 98, доска 1, плита 1;98;2,88;1,23;377;4,81;0,53;1,78;0,75;1,11;0,37;3,52;1,25;14,4;3;9
;287. лампа (2) (a lamp);;;лампа;a lamp;лампа;4;100;лампа 43, бра 30, светильник 25, торшер 2;43;2,22;1,02;--;4,47;0,92;1,53;0,52;1,27;0,78;2,63;1,32;34;2;5
2;286. лампа (1) (a lamp);разные;неод;лампа;a lamp;лампа;4;100;лампа 95, светильник 3, pixo 1, торшер 1;95;3,13;1,11;325;4,65;0,67;1,46;0,54;1,12;0,48;3,63;1,34;34;2;5
2;62. ведро (a bucket);разные;неод;ведро;a bucket;ведро;3;100;ведро 98, бидон 1, кастрюля 1;98;2,46;1,01;--;4,12;0,98;1,32;0,58;1,05;0,33;4,12;0,93;34,1;2;5
2;94. гвоздь (a nail);разные;неод;гвоздь;a nail;гвоздь;3;100;гвоздь 98, булавка 1, карандаш 1;98;2,24;1,16;99,1;4,22;1,02;1,81;0,55;1,03;0,22;4,82;0,5;24,2;1;5
2;168. кактус (a cactus);разные;неод;кактус;a cactus;кактус;3;100;кактус 98, растение 1, цветок 1;98;2,73;1,01;249;4,47;0,87;2,15;0,74;1,12;0,48;4,03;1,16;4,6;2;6
2;202. клюв (a beak);разные;неод;клюв;a beak;клюв;3;100;клюв 98, птица 1, нет ответа 1;98;2,96;1,13;153;3,35;1,41;1,84;0,67;1,25;0,67;3,6;1,12;6,6;1;4
2;240. коридор (a corridor);разные;неод;коридор;a corridor;коридор;3;100;коридор 98, общага 1, помещение 1;98;3,64;1;--;4,66;0,7;1,54;0,58;1,18;0,59;3,88;1,06;110,8;3;7
2;264. кроссворд (a crossword);разные;неод;кроссворд;a crossword;кроссворд;3;100;кроссворд 98, загадка 1, скандворд 1;98;2,89;1,46;591;4,2;1,08;2,63;0,82;1,12;0,43;4,79;0,52;2,7;2;8
2;304. локоть (an elbow);разные;неод;локоть;an elbow;локоть;3;100;локоть 98, локоток 1, рука 1;98;2,09;1,02;266;4,6;0,78;1,52;0,5;1,13;0,49;4,57;0,88;40,2;2;5
2;433. плот (a raft);разные;неод;плот;a raft;плот;3;100;плот 98, баржа 1, лодка 1;98;3,56;1,26;404;3,06;1,46;2,51;0,8;1,36;0,8;3,36;1,27;8;1;4
2;463. пуговица (a button);разные;неод;пуговица;a button;пуговица;3;101;пуговица 99, ситичко для сливного отверстия раковины 1, слив 1;98;2,04;0,95;288;4,75;0,7;1,4;0,55;1,02;0,2;4,84;0,4;19,8;4;8
2;512. свитер (a pullover);разные;неод;свитер;a pullover;свитер;3;100;свитер 98, кофта 1, нет ответа 1;98;2,88;1,12;546;4,63;0,76;1,78;0,69;1,1;0,44;4,52;0,83;15;2;6
