trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,AL,L1,sound_path,AFC1,AFC2,AFC3,AFC1_color,AFC2_color,AFC3_color,recognition_text,recognition_correctness,recall_AL,recall_L1,SEM_AL,variant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp.keys,key_resp.rt,recall_rt,recall_text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,rows,key_resp_10.keys,key_resp_10.rt,key_resp_3.keys,key_resp_3.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,recall_test_rt,recall_test_text,key_resp_4.keys,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran
,,,,,enveku,микрофон,enveku.wav,пальма,стрела,микрофон,black,black,green,enveku = микрофон?,1,madide,флаг,tivere,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.672475,f,"[""f"",""a"",""l"",""g"",""l"",""a"",""h"",""d"",""w"",""n"",""d"",""return""]",0,17,17,17,1,"[3.1501200000056997,3.2994650000473484,3.3006550000282004,4.192150000017136,4.857875000103377,5.303690000087954,5.600475000101142,5.765720000024885,5.917525000055321,6.21124500001315,6.469920000061393,6.6724750000284985]",,,,,,,
,,,,,favatu,клубок,favatu.wav,клубок,компас,ведро,green,black,black,favatu = клубок?,1,enkade,точилка,takuru,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,"[""d"",""r"",""o"",""c"",""h"",""i"",""l"",""k"",""a""]",0,18,18,18,1,"[2.541624999954365,2.890205000061542,3.349000000045635,3.7156149999937043,4.139549999963492,4.559405000065453,4.782789999968372,5.00488000002224,5.161154999979772]",,,,,,,
,,,,,tivere,шашлык,tivere.wav,стрела,копилка,шашлык,black,black,green,tivere = шашлык?,1,vembare,костюм,kaltane,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,0,19,19,19,1,,,,,,,,
,,,,,invaltu,намордник,invaltu.wav,домино,намордник,мельница,black,green,black,invaltu = намордник?,1,mugalu,свисток,savere,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,0,20,20,20,1,,,,,,,,
,,,,,savere,стрела,savere.wav,стрела,колбаса,костюм,green,black,black,savere = шприц?,0,sevade,коридор,feranu,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,"[""v"",""backspace""]",0,21,21,21,1,"[0.18738000001758337,0.7862300000851974]",,,,,,,
,,,,,ovarde,конверт,ovarde.wav,компас,конверт,мяч,black,green,black,ovarde = компас?,0,erfate,гранат,beskadu,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,"[""e"",""f"",""e"",""r"",""e""]",0,22,22,22,1,"[3.3108899999642745,5.486230000038631,6.046044999966398,6.20203499996569,6.314505000016652]",,,,,,,
,,,,,erfate,гранат,erfate.wav,гранат,шашлык,удочка,green,black,black,erfate = гранат?,1,beskadu,удочка,tanibu,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,"[""h"",""u"",""u"",""d""]",0,23,23,23,1,"[4.574089999892749,4.668184999958612,6.025784999947064,6.926729999948293]",,,,,,,
,,,,,panabu,гвоздь,panabu.wav,гвоздь,клубок,самолет,green,black,black,panabu = гвоздь?,1,akastu,шприц,venkere,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,"[""a"",""d"",""i"",""s"",""t"",""e""]",0,24,24,24,1,"[2.4162550000473857,2.6507400000700727,2.974815000081435,3.3169350000098348,3.615525000030175,3.815455000032671]",,,,,,,
,,,,,akastu,шприц,akastu.wav,одуванчик,флаг,шприц,black,black,green,akastu = самолет?,0,venkere,ведро,aderu,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,"[""k"",""a"",""r"",""i"",""n"",""a""]",0,25,25,25,1,"[5.577969999983907,5.821044999989681,6.199385000043549,6.453089999966323,6.681790000060573,6.8042249999707565]",,,,,,,
,,,,,enkalu,веер,enkalu.wav,шприц,веер,костюм,black,green,black,enkalu = веер?,1,adiste,колокол,enkontu,5,2020-05-13_22h08.41.249,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,"[""a"",""d"",""i""]",0,26,26,26,1,"[3.3711349999066442,3.4553699999814853,3.7198499999940395]",,,,,,,
