trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,AL,L1,sound_path,AFC1,AFC2,AFC3,AFC1_color,AFC2_color,AFC3_color,recognition_text,recognition_correctness,recall_AL,recall_L1,SEM_AL,variant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp.keys,key_resp.rt,recall_rt,recall_text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,rows,key_resp_10.keys,key_resp_10.rt,key_resp_3.keys,key_resp_3.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,recall_test_rt,recall_test_text,key_resp_4.keys,key_resp_4.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,key_resp_5.keys,key_resp_5.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran
0,0,0,0,1,morvidu,точилка,morvidu.wav,шашлык,точилка,свисток,black,green,black,morvidu = точилка?,1,sankadu,качели,bokente,2,2020-05-13_17h48.34.163,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,kambipu,стол,kambipu.wav,стол,компас,намордник,green,black,black,kambipu = кроссворд?,0,potabu,кроссворд,felkure,2,2020-05-13_17h48.34.163,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,limate,хобот,limate.wav,хобот,роза,точилка,green,black,black,limate = хобот?,1,tuvene,компас,ediste,2,2020-05-13_17h48.34.163,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,3,1,nevetu,колбаса,nevetu.wav,колбаса,качели,хобот,green,black,black,nevetu = маяк?,0,derartu,стрела,rantare,2,2020-05-13_17h48.34.163,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,4,4,1,vortule,намордник,vortule.wav,намордник,мельница,домино,green,black,black,vortule = намордник?,1,kavitu,мельница,kankeru,2,2020-05-13_17h48.34.163,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5,5,5,1,tekuru,костюм,tekuru.wav,маяк,гранат,костюм,black,black,green,tekuru = мельница?,0,farimu,копилка,enkene,2,2020-05-13_17h48.34.163,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6,6,6,1,kovaru,ведро,kovaru.wav,костыль,ведро,костюм,black,green,black,kovaru = ремень?,0,akufu,маяк,kambipu,2,2020-05-13_17h48.34.163,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,7,7,1,asamu,самолет,asamu.wav,конверт,наперсток,самолет,black,black,green,asamu = самолет?,1,nevetu,колбаса,derartu,2,2020-05-13_17h48.34.163,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,8,8,1,rantare,флаг,rantare.wav,флаг,стрела,ремень,green,black,black,rantare = флаг?,1,topeme,наперсток,koderde,2,2020-05-13_17h48.34.163,words,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,morvidu,точилка,morvidu.wav,шашлык,точилка,свисток,black,green,black,morvidu = точилка?,1,sankadu,качели,bokente,2,2020-05-13_17h48.34.163,words,2020.1.2,Win32,60,down,1.781645,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
