trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,AL,L1,sound_path,AFC1,AFC2,AFC3,AFC1_color,AFC2_color,AFC3_color,recognition_text,recognition_correctness,recall_AL,recall_L1,SEM_AL,variant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp.keys,key_resp.rt,recall_rt,recall_text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,rows,key_resp_10.keys,key_resp_10.rt,key_resp_3.keys,key_resp_3.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,recall_test_rt,recall_test_text,key_resp_4.keys,key_resp_4.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,key_resp_5.keys,key_resp_5.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran
,,,,,senkide,мяч,senkide.wav,мяч,гранат,терка,green,black,black,senkide = стол?,0,maviru,ремень,pentave,3,2020-05-13_13h51.47.770,words,2020.1.2,Win32,60,,,0,5,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,akastu,ведро,akastu.wav,костыль,костюм,ведро,black,black,green,akastu = ведро?,1,aderu,пистолет,panabu,3,2020-05-13_13h51.47.770,words,2020.1.2,Win32,60,right,2.14562,0,6,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,takuru,маяк,takuru.wav,наперсток,маяк,клубок,black,green,black,takuru = маяк?,1,larantu,веер,adiste,3,2020-05-13_13h51.47.770,words,2020.1.2,Win32,60,down,1.90281,0,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,pakanu,мельница,pakanu.wav,мельница,аквариум,ремень,green,black,black,pakanu = мельница?,1,lornitu,микрофон,madide,3,2020-05-13_13h51.47.770,words,2020.1.2,Win32,60,right,1.72281,0,8,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,beskadu,колбаса,beskadu.wav,качели,хобот,колбаса,black,black,green,beskadu = колбаса?,1,enkalu,пальма,pakanu,3,2020-05-13_13h51.47.770,words,2020.1.2,Win32,60,right,1.998645,0,9,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,invaltu,флаг,invaltu.wav,ремень,флаг,стрела,black,green,black,invaltu = колокол?,0,tivere,конверт,erfate,3,2020-05-13_13h51.47.770,words,2020.1.2,Win32,60,,,,,,,,"[""i"",""n"",""v"",""a"",""t"",""u"",""return""]","[1.435435000108555,1.8935700000729412,2.610245000105351,3.479425000026822,3.8952349999453872,4.16601000004448,4.831454999977723]",4.831455,invatu,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,panabu,свисток,panabu.wav,свисток,пальма,стол,green,black,black,panabu = свисток?,1,savere,шашлык,vembare,3,2020-05-13_13h51.47.770,words,2020.1.2,Win32,60,,,,,,,,"[""t"",""a"",""k"",""u"",""r"",""u"",""return""]","[2.225845000008121,2.9768500002101064,3.4250700001139194,3.677065000170842,3.9287200001999736,4.1713100001215935,5.625425000209361]",5.625425,takuru,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,kaltane,стрела,kaltane.wav,костюм,стрела,колбаса,black,green,black,kaltane = стрела?,1,sevade,утюг,tevone,3,2020-05-13_13h51.47.770,words,2020.1.2,Win32,60,,,,,,,,"[""k"",""backspace"",""v"",""backspace"",""c"",""a"",""l"",""t"",""a"",""n"",""e"",""return""]","[2.2698349999263883,2.8283649999648333,3.0473849999252707,3.615019999910146,3.7601349998731166,3.9677349999547005,4.126719999825582,4.427249999949709,4.5454499998595566,4.749224999919534,4.9337799998465925,6.563799999887124]",6.5638,caltane,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,aderu,пистолет,aderu.wav,пистолет,одуванчик,микрофон,green,black,black,aderu = пистолет?,1,panabu,свисток,savere,3,2020-05-13_13h51.47.770,words,2020.1.2,Win32,60,,,,,,,,"[""a"",""r"",""u"",""d"",""u"",""backspace"",""backspace"",""backspace"",""a""]","[1.3656999999657273,1.9312500001396984,2.4615950000006706,2.7427799999713898,3.465654999949038,5.494590000016615,5.9430649999994785,6.064735000021756,6.608735000016168]",7,,0,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,enkalu,пальма,enkalu.wav,шприц,пальма,свисток,black,green,black,enkalu = пальма?,1,pakanu,мельница,lornitu,3,2020-05-13_13h51.47.770,words,2020.1.2,Win32,60,,,,,,,,"[""m"",""a"",""l"",""t"",""u"",""n"",""e"",""return""]","[3.6618650001473725,3.8502250001765788,4.043850000016391,4.479585000080988,4.779684999957681,5.13078000000678,5.263800000073388,6.0916800000704825]",6.09168,maltune,0,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
